restaurant_name,online_order,book_table,rate_out_of_5,total_votes,location,rest_type,approx_cost_for_two,type_of_meal
Kitchens@JP Nagar,Yes,No,3.9,488,JP Nagar,"Takeaway, Delivery",400,Delivery
Krishna Kuteera,Yes,No,4.0,396,Bannerghatta Road,Quick Bites,400,Delivery
Apna Punjab,Yes,No,3.6,474,BTM,Quick Bites,450,Delivery
Paratha Junction,Yes,No,2.9,172,BTM,Quick Bites,300,Delivery
Nellore Bhojanam,Yes,No,3.1,175,Bannerghatta Road,Quick Bites,250,Delivery
Momoz,Yes,No,4.0,939,BTM,Casual Dining,600,Delivery
Kalingas,Yes,No,3.9,173,BTM,Quick Bites,250,Delivery
Kanteen The Eatery,Yes,No,3.9,77,Bannerghatta Road,Quick Bites,400,Delivery
Kullad Cafe,Yes,No,3.9,326,BTM,Cafe,200,Delivery
Donne Biriyani House,Yes,No,3.3,212,JP Nagar,Quick Bites,350,Delivery
Litti Twist,Yes,No,4.1,464,BTM,Quick Bites,300,Delivery
FreshMenu,Yes,No,3.3,628,Bannerghatta Road,Delivery,450,Delivery
Shanthi Sagar,Yes,No,3.6,518,JP Nagar,Casual Dining,400,Delivery
Cakebuy,Yes,No,3.9,70,Bannerghatta Road,Dessert Parlor,350,Delivery
Five Star Chicken,Yes,No,3.9,62,JP Nagar,Quick Bites,300,Delivery
Poha House,Yes,No,,0,BTM,Quick Bites,200,Delivery
Bathinda Tandoor,Yes,No,,0,BTM,Quick Bites,300,Delivery
Corner House Ice Cream,Yes,No,4.4,819,Jayanagar,Dessert Parlor,400,Delivery
Delight Food,Yes,No,2.6,171,BTM,Casual Dining,450,Delivery
Andhra Kitchen,Yes,No,3.9,158,Bannerghatta Road,"Takeaway, Delivery",400,Delivery
Veg By Nature,Yes,No,3.4,14,JP Nagar,"Takeaway, Delivery",200,Delivery
Fattoush,Yes,Yes,4.2,1964,Bannerghatta Road,Casual Dining,"1,000",Delivery
Chicken Magic,Yes,No,3.7,207,BTM,Quick Bites,300,Delivery
Behrouz Biryani,Yes,No,4.0,138,Bannerghatta Road,Delivery,650,Delivery
Abhiruchi Hotel,Yes,No,3.3,455,Bannerghatta Road,Casual Dining,550,Delivery
Swathi Restaurant,Yes,No,3.9,14,JP Nagar,"Takeaway, Delivery",400,Delivery
Fresh Kitchen,Yes,No,3.4,13,Bannerghatta Road,Casual Dining,600,Delivery
Hind Ka Chulah,Yes,No,3.8,181,Bannerghatta Road,Food Court,600,Delivery
Kuttanad,Yes,No,3.6,140,Bannerghatta Road,Quick Bites,200,Delivery
New Mahesh Friends Food Corner,Yes,No,3.2,44,BTM,Quick Bites,300,Delivery
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.6,43,JP Nagar,Quick Bites,300,Delivery
Pizza Hut,Yes,No,2.7,159,JP Nagar,Quick Bites,750,Delivery
Shree Krishna Sannidhi,Yes,No,3.4,76,Bannerghatta Road,Quick Bites,450,Delivery
BingeJoy!,Yes,No,3.6,16,JP Nagar,Kiosk,100,Delivery
Shiv Sai Hotel,Yes,No,3.5,74,Bannerghatta Road,Quick Bites,400,Delivery
MRA,Yes,No,3.9,20,BTM,"Takeaway, Delivery",200,Delivery
Beijing Bites,Yes,No,3.7,9,JP Nagar,"Takeaway, Delivery",400,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,4.1,51,JP Nagar,"Takeaway, Delivery",200,Delivery
Burj Hotel,Yes,No,3.5,53,Bannerghatta Road,Quick Bites,350,Delivery
Shaadi Ki Biryani,Yes,No,3.1,28,BTM,"Takeaway, Delivery",400,Delivery
Subway,Yes,No,3.2,166,Bannerghatta Road,Quick Bites,600,Delivery
Madeena Hotel,Yes,No,3.9,50,Bannerghatta Road,Quick Bites,400,Delivery
Biryani Durbar,Yes,No,3.7,128,Bannerghatta Road,"Takeaway, Delivery",400,Delivery
Adyar Ananda Bhavan Sweets,Yes,No,,0,JP Nagar,"Takeaway, Delivery",200,Delivery
The Good Bowl,Yes,No,3.6,8,Bannerghatta Road,"Takeaway, Delivery",500,Delivery
Mahesh Friends Food Center,Yes,No,2.9,126,BTM,Quick Bites,300,Delivery
Juice Shop,Yes,No,3.4,24,JP Nagar,"Takeaway, Delivery",150,Delivery
Kabab Magic,Yes,No,4.0,952,Jayanagar,Quick Bites,400,Delivery
Nammura Donne Biriyani,Yes,No,3.4,51,Kanakapura Road,Quick Bites,400,Delivery
Burger King,Yes,No,3.8,472,Bannerghatta Road,Quick Bites,600,Delivery
Dadi's Dum Biryani,Yes,Yes,4.0,739,Bannerghatta Road,Casual Dining,800,Delivery
Krishna Kuteera South,Yes,No,4.0,117,Bannerghatta Road,Casual Dining,500,Delivery
Alankrutha,Yes,No,3.9,255,BTM,Casual Dining,500,Delivery
Paradise,Yes,No,4.0,1974,JP Nagar,Casual Dining,800,Delivery
Kabab Mehal,Yes,No,3.7,65,JP Nagar,Quick Bites,400,Delivery
Mughlai Kitchen,Yes,No,3.5,269,BTM,,600,Delivery
Andhra Ruchulu,Yes,Yes,4.2,1428,JP Nagar,Casual Dining,800,Delivery
Sri Punjabi Dhaba,Yes,No,3.3,39,BTM,Dhaba,400,Delivery
Arabian Mexico,Yes,No,3.4,43,Bannerghatta Road,Quick Bites,400,Delivery
CakeZone,Yes,No,3.7,13,JP Nagar,"Takeaway, Delivery",200,Delivery
Fujian Express,Yes,No,3.6,34,JP Nagar,Quick Bites,200,Delivery
Indian Food,Yes,No,2.9,345,BTM,"Takeaway, Delivery",450,Delivery
Tandoori Paradise,Yes,No,3.5,8,BTM,Delivery,600,Delivery
Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,150,Delivery
Adithya,Yes,No,4.0,332,JP Nagar,Quick Bites,300,Delivery
Cheesiano Pizza,Yes,Yes,4.0,199,JP Nagar,Quick Bites,700,Delivery
Polar Bear,Yes,No,3.9,20,BTM,"Takeaway, Delivery",300,Delivery
Le Arabia,Yes,No,,0,JP Nagar,Casual Dining,600,Delivery
Nati Palace,Yes,No,3.5,11,JP Nagar,Quick Bites,200,Delivery
KFC,Yes,No,3.9,437,JP Nagar,Quick Bites,400,Delivery
Dande's Hyderabad Biryani,Yes,No,3.8,207,Bannerghatta Road,Casual Dining,700,Delivery
Onesta,Yes,Yes,4.4,4381,JP Nagar,"Casual Dining, Cafe",600,Delivery
Upahara Bhavan,Yes,No,3.8,55,Bannerghatta Road,Quick Bites,300,Delivery
Sher-E-Punjab,Yes,No,3.2,19,BTM,Quick Bites,400,Delivery
Shuddh Desi Khana,Yes,No,4.0,597,Bannerghatta Road,Quick Bites,400,Delivery
Karama Restaurant,Yes,No,3.5,16,JP Nagar,"Takeaway, Delivery",400,Delivery
Jaganath Hotel and Restaurant,Yes,No,3.6,35,JP Nagar,Quick Bites,200,Delivery
Five Star Chicken,Yes,No,3.5,9,Bannerghatta Road,Quick Bites,250,Delivery
Sankranthi Veg Restaurant,Yes,No,3.0,102,BTM,Casual Dining,600,Delivery
Aramane Donne Biriyani,Yes,No,3.9,189,BTM,Quick Bites,300,Delivery
Cafe Potpourri,Yes,No,3.7,131,JP Nagar,Cafe,400,Delivery
Mani's Dum Biryani,Yes,No,4.2,373,JP Nagar,Casual Dining,750,Delivery
Amontron,Yes,No,3.9,435,BTM,Casual Dining,650,Delivery
A M Biryani Hotel,Yes,No,3.3,6,Bannerghatta Road,Quick Bites,300,Delivery
Birinz,Yes,No,4.1,292,BTM,Casual Dining,700,Delivery
Just Shawarma,Yes,No,3.6,137,Bannerghatta Road,Quick Bites,300,Delivery
Hyderabadi Bawarchi,Yes,No,3.2,133,Bannerghatta Road,Casual Dining,500,Delivery
Fish Chain,Yes,No,3.9,37,JP Nagar,"Takeaway, Delivery",250,Delivery
Prasiddhi Food Corner,Yes,No,3.7,170,JP Nagar,Quick Bites,200,Delivery
Biriyani Bhatti,Yes,No,3.7,21,BTM,Quick Bites,400,Delivery
Hyderabad Biryaani House,Yes,No,3.6,794,Bannerghatta Road,Casual Dining,550,Delivery
Galito's,Yes,No,4.6,404,Bannerghatta Road,Casual Dining,"1,000",Delivery
C. K. Mega Hot Food,Yes,No,3.9,100,BTM,Casual Dining,600,Delivery
Lassi Shop,Yes,No,3.9,38,JP Nagar,Beverage Shop,300,Delivery
Red Chilli Restaurant,Yes,No,3.2,93,Bannerghatta Road,Quick Bites,350,Delivery
RSS Donne Biryani,Yes,No,3.3,58,BTM,Quick Bites,300,Delivery
Rajdhani Thali Restaurant,Yes,Yes,3.9,561,Bannerghatta Road,Casual Dining,900,Delivery
PHEW (Play Hard Eat Wild),Yes,Yes,3.9,486,BTM,Cafe,700,Delivery
New Kabab Zone,Yes,No,3.6,102,Bannerghatta Road,Quick Bites,500,Delivery
Bawarchi Paradise,Yes,No,3.5,89,Bannerghatta Road,Quick Bites,500,Delivery
Shree Udupi Grand,Yes,No,3.5,17,Kanakapura Road,Casual Dining,450,Delivery
Chicken County Grand,Yes,No,3.9,320,Bannerghatta Road,Casual Dining,650,Delivery
Roll Over,Yes,No,4.1,237,JP Nagar,Dessert Parlor,500,Delivery
Darjeeling Momos & Fast Food Center,Yes,No,3.8,37,Bannerghatta Road,Quick Bites,250,Delivery
Veruthe Oru Thattukada,Yes,No,3.7,27,BTM,Quick Bites,400,Delivery
Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1227,Bannerghatta Road,Casual Dining,900,Delivery
Warm Oven,Yes,No,3.9,32,BTM,Bakery,500,Delivery
Firangi Bake,Yes,No,4.0,95,Bannerghatta Road,Delivery,600,Delivery
Zaitoon,Yes,Yes,4.1,1538,JP Nagar,Casual Dining,"1,000",Delivery
Kundana,Yes,No,3.7,110,Bannerghatta Road,Casual Dining,800,Delivery
Food Ka Masti,Yes,No,3.2,45,Bannerghatta Road,Delivery,400,Delivery
The Shawarma Shop,Yes,No,4.1,381,BTM,Quick Bites,250,Delivery
Momo Junction,Yes,No,3.8,87,Bannerghatta Road,"Takeaway, Delivery",100,Delivery
Antilla Aromas,Yes,No,3.7,18,Bannerghatta Road,Dessert Parlor,300,Delivery
Faasos,Yes,No,3.9,251,Bannerghatta Road,Delivery,500,Delivery
Punjabi Food Corner,Yes,No,3.0,353,JP Nagar,Quick Bites,400,Delivery
Mealer.in,Yes,No,4.0,205,JP Nagar,Delivery,450,Delivery
Pathaan Sir,Yes,No,3.9,183,BTM,Quick Bites,250,Delivery
Cold Stone Creamery,Yes,No,3.9,99,Bannerghatta Road,Dessert Parlor,400,Delivery
Hari Super Sandwich,Yes,No,3.9,13,BTM,Quick Bites,100,Delivery
Amritsari Kulcha Land,Yes,No,4.1,260,JP Nagar,Quick Bites,300,Delivery
Chokha Chowka,Yes,No,3.9,355,BTM,Quick Bites,400,Delivery
Gorbandh,Yes,No,4.1,83,BTM,Quick Bites,400,Delivery
Grills & Rolls,Yes,No,2.5,321,JP Nagar,Quick Bites,400,Delivery
Bathinda Junction,Yes,No,3.9,362,BTM,Casual Dining,600,Delivery
Stories,Yes,Yes,4.2,2166,JP Nagar,"Pub, Casual Dining","1,200",Delivery
New Gongura's,Yes,No,3.7,43,BTM,Casual Dining,550,Delivery
Sagar Grand,Yes,No,3.8,30,Bannerghatta Road,Quick Bites,300,Delivery
Kanti Sweets,Yes,No,4.0,182,JP Nagar,Sweet Shop,400,Delivery
UBQ By Barbeque Nation,Yes,No,3.4,9,JP Nagar,Delivery,450,Delivery
Agarwal Food Service,Yes,No,3.8,265,Bannerghatta Road,Delivery,400,Delivery
Daniyal's,Yes,No,3.1,41,BTM,Quick Bites,800,Delivery
Seasons,Yes,Yes,3.8,500,Bannerghatta Road,Casual Dining,"1,000",Delivery
Chef Delicacies,Yes,No,3.1,7,JP Nagar,"Takeaway, Delivery",400,Delivery
Chung Wah,Yes,No,4.0,532,Bannerghatta Road,Casual Dining,800,Delivery
Indiana Burgers,Yes,No,3.4,23,BTM,Delivery,300,Delivery
Moksha,Yes,No,3.6,42,Kanakapura Road,"Casual Dining, Bar","1,500",Delivery
Marwa Restaurant,Yes,Yes,3.5,551,Bannerghatta Road,Casual Dining,600,Delivery
Chaatimes,Yes,No,3.9,100,JP Nagar,Quick Bites,200,Delivery
Shanghai Court,Yes,No,4.2,421,Bannerghatta Road,Casual Dining,700,Delivery
Akshaya Donne Biriyani,Yes,No,3.1,38,JP Nagar,Quick Bites,300,Delivery
Sweet Truth,Yes,No,3.7,33,Bannerghatta Road,Bakery,500,Delivery
Bhojohori Manna,Yes,No,3.7,662,JP Nagar,Casual Dining,650,Delivery
Richie Rich,Yes,No,3.1,14,JP Nagar,"Takeaway, Delivery",250,Delivery
Hunger Bee,Yes,No,3.8,54,Bannerghatta Road,Quick Bites,500,Delivery
Yum In My Tum,Yes,No,4.1,92,BTM,Quick Bites,300,Delivery
Maggi N Maggi House,Yes,No,3.4,22,Bannerghatta Road,"Takeaway, Delivery",300,Delivery
Fresh Dinner,Yes,No,3.1,105,Bannerghatta Road,"Takeaway, Delivery",500,Delivery
B.M.W Bhookh Mitaane Wala,Yes,No,3.5,8,JP Nagar,Quick Bites,500,Delivery
Biryani Miya,Yes,No,3.7,36,JP Nagar,Delivery,600,Delivery
Krispy Kreme,Yes,No,3.7,14,Bannerghatta Road,Dessert Parlor,300,Delivery
Paani Kum Chai,Yes,No,4.0,23,JP Nagar,Beverage Shop,200,Delivery
Chulha Chauki Da Dhaba,Yes,No,4.2,2350,JP Nagar,Casual Dining,800,Delivery
Hotel Brundavan,Yes,No,,0,Bannerghatta Road,Quick Bites,250,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.9,120,Bannerghatta Road,Quick Bites,300,Delivery
Dreamcatcher,Yes,No,3.9,49,Bannerghatta Road,Cafe,600,Delivery
Magix's Parattha Roll,Yes,No,3.7,184,BTM,Quick Bites,400,Delivery
Elegant Dining,Yes,Yes,3.6,225,Bannerghatta Road,Casual Dining,700,Delivery
AlienSip,Yes,No,3.6,11,BTM,Beverage Shop,200,Delivery
Masale Daan,Yes,No,,0,BTM,Quick Bites,350,Delivery
Waffle Head,Yes,No,4.0,35,BTM,"Dessert Parlor, Beverage Shop",300,Delivery
Samruddhi Biryani,Yes,No,3.0,45,Bannerghatta Road,Delivery,700,Delivery
Ande Ka Funda,Yes,No,3.2,56,Bannerghatta Road,Quick Bites,250,Delivery
Basmati Delights,Yes,No,4.0,869,BTM,Delivery,500,Delivery
Charlee's Chicken,Yes,No,3.2,34,Bannerghatta Road,Quick Bites,300,Delivery
Samosa Singh,Yes,No,4.0,153,JP Nagar,Quick Bites,200,Delivery
Cravings,Yes,No,3.7,139,Bannerghatta Road,Quick Bites,400,Delivery
Nagas,Yes,No,3.1,10,JP Nagar,Quick Bites,300,Delivery
Thalassery Restaurant,Yes,No,,0,Bannerghatta Road,Casual Dining,600,Delivery
Matka,Yes,No,3.7,181,Bannerghatta Road,Delivery,500,Delivery
Punjabi Swag,Yes,No,3.9,669,BTM,Casual Dining,500,Delivery
Taco Bell,Yes,No,3.7,168,Bannerghatta Road,Quick Bites,600,Delivery
Ambur Star Dum Biryani,Yes,No,3.4,17,Jayanagar,Quick Bites,100,Delivery
Ahmed's Little Hut,Yes,No,,0,BTM,Quick Bites,250,Delivery
Mother's Rasoi,Yes,No,3.8,170,Bannerghatta Road,Quick Bites,250,Delivery
Dosa Bazaar,Yes,No,4.0,112,JP Nagar,Quick Bites,200,Delivery
Babu Moshai,Yes,No,3.0,43,Bannerghatta Road,Quick Bites,500,Delivery
The Bong Palate,Yes,No,3.8,58,BTM,Quick Bites,300,Delivery
Gowdru Mane Oota,Yes,No,3.7,80,JP Nagar,Quick Bites,400,Delivery
Banashankari Nati Style,Yes,No,3.6,8,JP Nagar,Quick Bites,300,Delivery
Upahara Darshini,Yes,No,4.0,167,Jayanagar,Quick Bites,400,Delivery
Chandrima's Kitchen,Yes,No,3.7,38,Bannerghatta Road,"Takeaway, Delivery",400,Delivery
Keventers,Yes,No,3.8,29,Bannerghatta Road,"Beverage Shop, Dessert Parlor",400,Delivery
Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,300,Delivery
Crunch Pizzas,Yes,No,2.6,473,BTM,Quick Bites,600,Delivery
Slurpy Shakes,Yes,No,,0,BTM,Delivery,300,Delivery
Lassi Berg,Yes,No,3.4,13,BTM,Takeaway,100,Delivery
Kakal-Kai Ruchi,Yes,No,3.7,217,JP Nagar,Casual Dining,500,Delivery
Manchu Cafe,Yes,No,3.8,21,BTM,Quick Bites,300,Delivery
Calorie Express,Yes,No,3.6,192,BTM,Delivery,450,Delivery
Thalis Of India,Yes,No,,0,JP Nagar,Delivery,500,Delivery
BANGALORE BOX,Yes,Yes,4.2,611,BTM,"Casual Dining, Bar","1,500",Delivery
Yummy Momos,Yes,No,3.6,44,Bannerghatta Road,Kiosk,200,Delivery
Hotel Khaaja,Yes,No,3.1,68,Bannerghatta Road,Quick Bites,250,Delivery
The Gujarat Express,Yes,No,3.1,16,Bannerghatta Road,"Quick Bites, Sweet Shop",250,Delivery
Ovenstory Pizza,Yes,No,4.0,166,Bannerghatta Road,Delivery,750,Delivery
Slate Cafe,Yes,No,4.1,46,JP Nagar,Cafe,600,Delivery
Vishal Foods,Yes,No,3.3,57,Bannerghatta Road,Quick Bites,250,Delivery
Lassi Darbar,Yes,No,3.5,11,BTM,Beverage Shop,200,Delivery
Chavadi,Yes,Yes,4.4,2233,Bannerghatta Road,"Casual Dining, Bar","1,200",Delivery
Nanna Munna Paratha House,Yes,No,4.0,107,BTM,Quick Bites,300,Delivery
Cucumber Town,Yes,No,4.2,306,BTM,Delivery,600,Delivery
Sri Sai 99 Variety Dosa,Yes,No,3.7,32,Bannerghatta Road,Quick Bites,300,Delivery
Artinci Artisanal Ice Cream,Yes,No,,0,JP Nagar,Dessert Parlor,300,Delivery
Oye Amritsar,Yes,Yes,3.8,756,JP Nagar,Casual Dining,"1,000",Delivery
Kolkata Famous Kati Roll,Yes,No,3.5,11,JP Nagar,Quick Bites,200,Delivery
Nellore Ruchulu,Yes,No,3.7,30,Bannerghatta Road,Casual Dining,800,Delivery
Brewsky,Yes,Yes,4.4,4309,JP Nagar,Microbrewery,"1,600",Delivery
Chefeana,Yes,No,4.0,212,Bannerghatta Road,Quick Bites,400,Delivery
Bangaliana,Yes,No,2.9,153,Bannerghatta Road,Quick Bites,600,Delivery
Gud Dhani,Yes,No,4.0,827,BTM,Casual Dining,500,Delivery
The Hunger Room,Yes,No,3.9,36,JP Nagar,Quick Bites,400,Delivery
McDonald's,Yes,No,4.0,256,Bannerghatta Road,Quick Bites,500,Delivery
Parisar Veg Restaurant,Yes,No,3.6,8,Bannerghatta Road,Quick Bites,400,Delivery
WAFL,Yes,No,3.9,40,Bannerghatta Road,Food Court,400,Delivery
Deejas Kitchen,Yes,No,3.9,73,Bannerghatta Road,"Takeaway, Delivery",400,Delivery
Pancuzzi,Yes,No,4.2,169,JP Nagar,Cafe,600,Delivery
Totus,Yes,No,,0,BTM,Quick Bites,300,Delivery
Zhang's - Chinese Restaurant,Yes,No,4.1,586,JP Nagar,Casual Dining,700,Delivery
Shagun Sweets & Foods,Yes,No,3.5,221,BTM,"Sweet Shop, Quick Bites",400,Delivery
Eat Well,Yes,No,2.9,22,JP Nagar,Delivery,400,Delivery
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,500,Delivery
Oogway Express,Yes,No,3.9,347,JP Nagar,Casual Dining,600,Delivery
Domino's Pizza,Yes,No,3.0,347,Bannerghatta Road,Quick Bites,800,Delivery
Pizza Stop,Yes,No,3.9,385,JP Nagar,Quick Bites,600,Delivery
Balaji Bombay Vada Pav Gujrati Dalebi,Yes,No,3.8,37,JP Nagar,Takeaway,150,Delivery
The Cake Ville,Yes,No,3.2,18,JP Nagar,"Bakery, Quick Bites",300,Delivery
The Egg Factory,Yes,No,4.0,1305,JP Nagar,Casual Dining,750,Delivery
Chow San,Yes,No,3.0,122,Bannerghatta Road,Casual Dining,500,Delivery
New Udupi Grand,Yes,No,3.5,47,JP Nagar,Quick Bites,300,Delivery
New Karawali Lunch Home,Yes,No,3.5,20,Bannerghatta Road,Quick Bites,350,Delivery
SR Choco Station,Yes,No,3.4,7,JP Nagar,"Takeaway, Delivery",200,Delivery
Bangalore Pantry,Yes,No,,0,Bannerghatta Road,Quick Bites,400,Delivery
Momo Jojo,Yes,No,4.3,539,JP Nagar,Quick Bites,300,Delivery
Pizza Palace,Yes,No,,0,Bommanahalli,Quick Bites,300,Delivery
Simply Indian,Yes,Yes,3.9,681,Bannerghatta Road,Casual Dining,800,Delivery
Delhi Biryani Cafe,Yes,No,3.5,10,BTM,Quick Bites,250,Delivery
Rithika's Kitchen,Yes,No,3.8,106,JP Nagar,Delivery,350,Delivery
Punjabi Times,Yes,Yes,4.1,1025,Bannerghatta Road,Casual Dining,"1,000",Delivery
Tarbouche,Yes,No,,0,BTM,Quick Bites,300,Delivery
Omleterian,Yes,No,,0,JP Nagar,Delivery,200,Delivery
Chai Point,Yes,No,3.6,132,Bannerghatta Road,"Beverage Shop, Quick Bites",250,Delivery
Cafe Coffee Day,Yes,No,3.7,26,Bannerghatta Road,Cafe,900,Delivery
Cravy Wings,Yes,No,4.2,289,Bannerghatta Road,Quick Bites,400,Delivery
Funky Punjab,Yes,No,3.9,407,JP Nagar,Casual Dining,500,Delivery
A1 Garam Masala,Yes,No,3.6,25,Kanakapura Road,Casual Dining,600,Delivery
Punjabi Corner,Yes,No,3.9,201,Bannerghatta Road,Quick Bites,250,Delivery
Guru Palace,Yes,No,3.1,106,Bannerghatta Road,Casual Dining,450,Delivery
#refuel,Yes,No,3.7,37,Bannerghatta Road,Cafe,400,Delivery
Biggies Burger 'n' More,Yes,No,4.1,203,JP Nagar,"Quick Bites, Cafe",650,Delivery
Zeeshan,Yes,No,3.1,320,JP Nagar,Casual Dining,600,Delivery
Ambara Gardenia,Yes,Yes,3.8,257,Bannerghatta Road,Casual Dining,800,Delivery
LayerBite,Yes,No,3.8,9,BTM,Bakery,450,Delivery
Five Star Chicken,Yes,No,3.2,100,Bannerghatta Road,Quick Bites,250,Delivery
Bhavani Chats,Yes,No,3.6,34,Bannerghatta Road,Quick Bites,100,Delivery
Tandoor Chai House,Yes,No,,0,JP Nagar,Quick Bites,200,Delivery
Shawarma Inc,Yes,No,3.2,4,Bannerghatta Road,Food Court,250,Delivery
More Pizza,Yes,No,3.8,46,JP Nagar,Quick Bites,450,Delivery
Appana Restaurant,Yes,No,,0,BTM,Quick Bites,300,Delivery
Butterly,Yes,No,3.9,102,Bannerghatta Road,Cafe,450,Delivery
Crafted Plate,Yes,Yes,4.2,237,JP Nagar,"Casual Dining, Cafe",600,Delivery
Shetty's Kitchen,Yes,No,3.7,108,Bannerghatta Road,Quick Bites,600,Delivery
Machali Port,Yes,No,3.9,34,JP Nagar,Casual Dining,750,Delivery
Naati Manae,Yes,No,3.1,10,JP Nagar,Food Court,500,Delivery
Bottle Genie,Yes,No,,0,BTM,"Takeaway, Delivery",350,Delivery
Mad Over Biryani,Yes,No,3.3,8,JP Nagar,"Takeaway, Delivery",600,Delivery
Garma Garam,Yes,No,3.2,144,Bannerghatta Road,Quick Bites,350,Delivery
Sambram Biriyani Paradise,Yes,No,3.5,97,JP Nagar,Casual Dining,600,Delivery
Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,150,Delivery
The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,1028,JP Nagar,"Casual Dining, Bar","1,100",Delivery
BIB - Breakfast in the Box,Yes,No,3.8,84,Bannerghatta Road,Delivery,600,Delivery
Angel Restaurant,Yes,No,2.8,165,Bannerghatta Road,Quick Bites,450,Delivery
Wow Momo,Yes,No,3.3,12,JP Nagar,Quick Bites,300,Delivery
Pizza Da Dhaba,Yes,No,2.9,57,Bannerghatta Road,Quick Bites,400,Delivery
Kalpavruksha,Yes,No,3.9,99,Bannerghatta Road,Quick Bites,300,Delivery
Innerchef,Yes,No,,0,JP Nagar,Delivery,500,Delivery
Juice Land,Yes,No,3.9,141,Bannerghatta Road,Beverage Shop,300,Delivery
Bombay Sandwich Company,Yes,No,,0,JP Nagar,Delivery,400,Delivery
Tandoor And Spice,Yes,No,4.0,181,JP Nagar,Casual Dining,550,Delivery
Kitchen24,Yes,No,,0,BTM,Takeaway,300,Delivery
Rock Stone Ice Cream Factory,Yes,No,4.0,128,BTM,Dessert Parlor,230,Delivery
Paratha Plaza,Yes,No,3.8,171,JP Nagar,Quick Bites,250,Delivery
Krishna Vijayashree,Yes,No,3.5,13,Bannerghatta Road,Casual Dining,700,Delivery
Soup Station,Yes,No,3.6,9,Bannerghatta Road,Quick Bites,250,Delivery
Tasty Point,Yes,No,3.3,9,Bannerghatta Road,Delivery,300,Delivery
Natural Mumbai Kulfi,Yes,No,3.5,8,BTM,Dessert Parlor,130,Delivery
Namma Kudla,Yes,No,3.9,200,JP Nagar,Quick Bites,400,Delivery
Triveni,Yes,No,3.6,33,Bannerghatta Road,Casual Dining,600,Delivery
Wangs Kitchen,Yes,No,3.0,114,Bannerghatta Road,Casual Dining,"1,000",Delivery
RK Fresh Food,Yes,No,3.5,12,BTM,Quick Bites,300,Delivery
Alif Restaurant,Yes,No,3.6,26,JP Nagar,Casual Dining,600,Delivery
Dine One One Restaurant,Yes,No,3.6,15,Bannerghatta Road,Casual Dining,500,Delivery
Pallavas Veg Cuisine,Yes,No,3.6,46,Bannerghatta Road,Casual Dining,600,Delivery
The Food Cottage,Yes,No,3.7,48,BTM,Quick Bites,350,Delivery
Healthie,Yes,No,,0,JP Nagar,Delivery,600,Delivery
Brundhavana Pure Veg,Yes,No,3.7,98,JP Nagar,Casual Dining,500,Delivery
Spice Up,Yes,No,3.8,146,JP Nagar,Casual Dining,600,Delivery
North Chinese Centre,Yes,No,,0,Bannerghatta Road,Quick Bites,250,Delivery
Suryawanshi,Yes,No,3.7,16,Bannerghatta Road,Casual Dining,700,Delivery
M-Aura Kitchen Cafe & More,Yes,No,,0,Bannerghatta Road,Quick Bites,400,Delivery
Perch,Yes,No,,0,BTM,Quick Bites,350,Delivery
Tempteys,Yes,No,4.2,248,BTM,"Dessert Parlor, Beverage Shop",500,Delivery
World In A Bowl,Yes,No,,0,JP Nagar,Delivery,600,Delivery
DeliBox.in,Yes,No,3.7,67,BTM,Delivery,150,Delivery
FRYBIES,Yes,No,3.3,15,Bannerghatta Road,Quick Bites,350,Delivery
Crumb Together,Yes,Yes,4.1,583,JP Nagar,"Casual Dining, Bar","1,200",Delivery
The Foodyz,Yes,No,3.7,42,JP Nagar,Quick Bites,500,Delivery
Bean D'er Cafe,Yes,No,3.5,8,JP Nagar,Quick Bites,250,Delivery
Chaat Chatore,Yes,No,3.1,19,Bannerghatta Road,Quick Bites,300,Delivery
Black Mug Cafe,Yes,No,3.7,171,Bannerghatta Road,Cafe,300,Delivery
Taste Of Kolkata,Yes,No,3.1,59,BTM,Quick Bites,400,Delivery
Y Not Restaurant,Yes,No,3.1,4,JP Nagar,"Takeaway, Delivery",300,Delivery
24/7 Food Service,Yes,No,3.0,7,JP Nagar,"Takeaway, Delivery",300,Delivery
Kanti Bakes & Flakes,Yes,No,,0,Bannerghatta Road,Dessert Parlor,300,Delivery
Meat And Eat,Yes,No,3.7,79,JP Nagar,Quick Bites,500,Delivery
China Town 07,Yes,No,,0,BTM,Quick Bites,300,Delivery
Modern Restaurant,Yes,No,3.0,17,BTM,Casual Dining,450,Delivery
Vinaya Coffee Moments,Yes,No,3.7,46,JP Nagar,Cafe,450,Delivery
Burrito Boys,Yes,No,3.0,6,Bannerghatta Road,"Food Court, Quick Bites",400,Delivery
The little Kitchen,Yes,No,,0,JP Nagar,Quick Bites,300,Delivery
